0,1
MN735988.1,134
MN735989.1,54
MN735990.1,134
MN735991.1,22
MN650592.1,422
MN650593.1,417
MN650594.1,439
MN720746.1,427
MN621140.1,463
MN621141.1,438
MN639764.1,253
MN639765.1,243
MN639766.1,240
MN639767.1,251
MN639768.1,252
MN639769.1,252
MN639770.1,594
MN577472.1,359
MN589858.1,400
MN589859.1,400
MN589860.1,400
MN589861.1,400
MN589862.1,400
MN589863.1,400
MN589864.1,400
MN589865.1,400
MN589866.1,400
MN589867.1,400
MN589868.1,400
MN589869.1,400
MN589870.1,400
MN589871.1,400
MN589872.1,400
MN589873.1,400
MN589874.1,400
MN589875.1,400
MN589876.1,400
MN589877.1,400
MN589878.1,400
MN589879.1,400
MN589880.1,400
MN589881.1,400
MN589882.1,400
MN589883.1,400
MN589884.1,400
MN600714.1,413
MN057643.1,551
MK241415.1,266
MK241416.1,266
MK241417.1,266
MN708488.1,508
MN708489.1,508
MN708490.1,508
MN708491.1,508
MN708492.1,508
MN708493.1,508
MN708494.1,508
MN708495.1,508
MN708496.1,508
MN708497.1,508
MK089775.1,0
JN819404.1,281
MG243699.1,412
MG587038.1,0
MN611472.1,428
MN566104.1,429
MN566105.1,429
MN566106.1,429
MN566107.1,429
MN566108.1,429
MN577543.1,429
MN577544.1,429
MH891766.1,396
MH891767.1,478
MH891768.1,407
MH891769.1,181
MH891770.1,193
MH891771.1,355
MH891772.1,243
MN128700.1,82
MN577550.1,428
MK760660.1,516
MK760661.1,508
MK760662.1,531
MK760663.1,531
MK760664.1,506
MK760665.1,433
MK760666.1,585
MK005258.1,405
MG589641.1,443
MF940236.1,451
MF940237.1,451
MF940238.1,451
MF940239.1,451
MF940240.1,451
MF940241.1,451
MF940242.1,451
MF940243.1,451
MF940244.1,451
MF940245.1,451
MF940246.1,451
MF940247.1,451
MF940248.1,451
MF940249.1,451
MF940250.1,451
MF940251.1,451
MF940252.1,451
MF940253.1,451
MN556094.1,438
MN473450.1,0
MN473451.1,269
MN473452.1,35
MN473453.1,13
MN473454.1,269
MN185324.1,242
MN185325.1,242
MN185326.1,242
MN185327.1,242
MN185328.1,242
MN185329.1,239
MN185330.1,242
MN185331.1,242
MN185332.1,242
MK829152.1,9
MK829153.1,9
MK829154.1,9
MN453624.1,409
MN211301.1,416
MN211302.1,418
MN211303.1,390
MN211304.1,406
MN211305.1,403
MN211306.1,448
MN211307.1,390
MN211308.1,361
MN211309.1,368
MN211310.1,368
MN211311.1,420
LC428053.1,0
LC428054.1,0
LC428055.1,0
LC428056.1,0
LC428057.1,0
LC428058.1,0
LC428059.1,0
LC428060.1,0
LC428061.1,0
LC428062.1,0
LC428063.1,0
LC428064.1,0
LC428065.1,0
LC428066.1,0
LC428067.1,0
LC428068.1,0
LC428069.1,0
LC428070.1,0
LC428071.1,0
LC428072.1,0
LC428073.1,0
LC428074.1,0
LC428075.1,0
LC428076.1,0
LC428077.1,0
LC428078.1,0
